"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"2425163","RESIDENTIAL","Single Family Residence","90 W Ravano Drive","Clayton","27527",,"San Marino","5","3","2,959","0-.25 Acres","2022","1/3/2022","5/17/2022","0","$431,999","$431,999"
"2435694","RESIDENTIAL","Single Family Residence","10440 Cokesbury Lane","Raleigh","27614",,"Falls River","2","3","1,720","0-.25 Acres","1998","3/10/2022","4/25/2022","3","$400,000","$432,000"
"2442905","RESIDENTIAL","Single Family Residence","1110 Mallory Lane","Durham","27713",,"Auburn","3","3","1,615","0-.25 Acres","2003","4/16/2022","5/27/2022","8","$389,900","$432,000"
"2429344","RESIDENTIAL","Single Family Residence","60 Tamarind Court","Clayton","27527-9676",,"The Groves at Summerlyn","5","4","2,902","0-.25 Acres","2008","2/1/2022","5/2/2022","8","$432,000","$432,000"
"2435403","RESIDENTIAL","Single Family Residence","4214 Vineyard Ridge Drive","Zebulon","27597",,"Weavers Pond","4","3","2,550","0-.25 Acres","2016","3/9/2022","4/18/2022","22","$420,000","$432,000"
"2436759","RESIDENTIAL","Single Family Residence","247 Royal Oak Lane","Garner","27529",,"Cleveland Bluffs","4","2","2,378","0-.25 Acres","2016","3/16/2022","4/8/2022","0","$389,900","$432,000"
"2450122","RESIDENTIAL","Townhouse","1011 Apogee Drive","Durham","27713",,"Southern Pointe Townhomes","3","3","1,853","0-.25 Acres","2019","5/19/2022","6/24/2022","3","$410,000","$432,000"
"2439851","RESIDENTIAL","Single Family Residence","1009 Berkeley Street","Durham","27705",,"Not in a Subdivision","3","2","1,292","0-.25 Acres","2000","4/1/2022","6/2/2022","4","$369,900","$432,000"
"2438260","RESIDENTIAL","Single Family Residence","604 Calavaras Lane","Knightdale","27545",,"Widewaters Village","4","3","2,345","0-.25 Acres","2005","3/24/2022","4/28/2022","4","$390,000","$432,000"
"2429063","RESIDENTIAL","Single Family Residence","322 Highland Forest Drive","Fuquay Varina","27526",,"Highland Forest","4","3","1,880","0-.25 Acres","2022","1/30/2022","4/22/2022","0","$432,250","$432,250"
"2432548","RESIDENTIAL","Single Family Residence","45 Locomotive Way","Clayton","27520",,"Steel Bridge Crossing","3","3","2,386",".76-.99 Acres","2022","2/21/2022","6/10/2022","0","$427,706","$432,326"
"2425404","RESIDENTIAL","Single Family Residence","761 Trebor Drive","Garner","27529-7453",,"Trebor Meadow","4","3","2,130",".51-.75 Acres","2005","1/4/2022","4/4/2022","63","$440,000","$432,500"
"2449203","RESIDENTIAL","Single Family Residence","111 Carriage Circle","Chapel Hill","27514",,"Covington Place","3","2","1,420","0-.25 Acres","1989","5/14/2022","6/27/2022","20","$445,000","$432,500"
"2434917","RESIDENTIAL","Townhouse","219 Murray Glen Drive","Cary","27519",,"Westover Park","3","3","1,765","0-.25 Acres","2008","3/6/2022","4/30/2022","21","$430,000","$432,500"
"122485","RESIDENTIAL","Single Family Residence","4594 Freedom Drive","Burlington","27215",,,"3","3","0",".51-.75 Acres","2004","3/13/2022","4/14/2022","6","$375,000","$432,500"
"2436150","RESIDENTIAL","Single Family Residence","4594 Freedom Drive","Burlington","27215",,"Heritage Glen","3","3","2,239",".51-.75 Acres","2004","3/13/2022","4/14/2022","2","$375,000","$432,500"
"2442706","RESIDENTIAL","Single Family Residence","4709 Waterford Cove Drive","Raleigh","27616",,"Winchester","3","3","1,970","0-.25 Acres","1999","4/15/2022","5/25/2022","5","$430,000","$432,500"
"2437048","RESIDENTIAL","Single Family Residence","210 Mellor Drive","Fuquay Varina","27526",,"Adalyn Place","2","2","2,674","0-.25 Acres","2022","3/17/2022","6/30/2022","0","$432,525","$432,525"
"2428109","RESIDENTIAL","Townhouse","2057 Eva Pearl Drive","Apex","27502",,"West Village","4","4","2,201","0-.25 Acres","2022","11/9/2021","5/18/2022","0","$432,555","$432,555"
"2417661","RESIDENTIAL","Single Family Residence","128 Anise Tree Way","Clayton","27527","Forrest","Flowers Plantation","3","3","2,007","0-.25 Acres","2022","11/5/2021","5/2/2022","0","$432,810","$432,810"
"2449239","RESIDENTIAL","Single Family Residence","206 Holly Ridge Road","Chapel Hill","27516",,"Polks Landing","3","2","1,368",".51-.75 Acres","1974","5/14/2022","6/29/2022","15","$433,000","$433,000"
"2439279","RESIDENTIAL","Single Family Residence","2525 Valley Haven Drive","Raleigh","27603",,"Villages of Tryon","3","3","1,468","0-.25 Acres","2000","3/29/2022","4/22/2022","4","$385,000","$433,000"
"2446379","RESIDENTIAL","Townhouse","8620 Macedonia Lake Drive","Cary","27518",,"Creekside at Tryon Village","3","3","1,764","0-.25 Acres","2009","5/3/2022","6/21/2022","9","$440,000","$433,000"
"2438698","RESIDENTIAL","Townhouse","1366 Regulator Street","Raleigh","27603",,"Renaissance Park","4","3","2,182","0-.25 Acres","2008","3/26/2022","5/25/2022","30","$419,900","$433,000"
"2419008","RESIDENTIAL","Townhouse","2103 Big Falls Drive","Wendell","27591",,"Wendell Falls","4","4","2,522","0-.25 Acres","2021","11/13/2021","5/3/2022","0","$433,010","$433,010"
