Mortgage Rates,Zip,Bedrooms,Total Baths,SqFt,Acres,Year Built,List Date,Closing Date,List Price,Sold Price,Days on Market,Over Asking,Lat,Lon,Cluster,List Year,List Month,Closing Year,Closing Month,Price Increase Percentage,Age of Property,Geo Cluster,Log Sold Price
2.65,27511,1,2,-0.6319163167244362,-0.11033614216926044,2019,2019-06-24,2021-01-08,0.24179933014510302,335000.0,2.0699457815989706,0,35.7641,-78.7786,1,2019,6,2021,1,-0.2063811900695447,-1.2870471199813842,0,12.721888795877375
2.65,27511,2,2,0.6254784745509754,-0.11033614216926044,2001,2020-12-05,2021-01-07,0.2071225173912198,330000.0,-0.6739951685806731,0,35.7641,-78.7786,1,2020,12,2021,1,-0.2063811900695447,-0.44448401341531873,0,12.706850963741102
2.65,27511,2,2,0.02297680373150734,-0.11033614216926044,2018,2018-04-26,2021-01-06,0.6579210831917015,395000.0,2.0699457815989706,0,35.7641,-78.7786,1,2018,4,2021,1,-0.2063811900695447,-1.2402380585054917,0,12.886643575525625
2.65,27701,1,1,-1.5749624101809947,-0.11033614216926044,1972,2020-12-02,2021-01-06,-0.7291514269636268,195000.0,-0.6177092003718598,0,35.9967,-78.8966,2,2020,12,2021,1,-0.2063811900695447,0.9129787693855644,1,12.180759965737863
2.65,27519,2,2,1.1310559635429638,-0.11033614216926044,2009,2020-11-25,2021-01-06,-0.000938359132079432,300000.0,-0.4207083116410137,0,35.8072,-78.887,2,2020,11,2021,1,-0.2063811900695447,-0.8189565052224589,1,12.611541086966115
2.65,27605,1,1,-1.8369196583633722,-0.11033614216926044,1949,2020-11-04,2021-01-08,-0.9025354907330428,170000.0,0.22658032276033815,0,35.7908,-78.653,1,2020,11,2021,1,-0.2063811900695447,1.9895871833310923,0,12.04355959836804
2.65,27603,3,3,0.1277597030044583,-0.11033614216926044,2002,2020-09-17,2021-01-04,-0.9788244787915859,159000.0,1.4648716233542285,0,35.7076,-78.6563,1,2020,9,2021,1,-0.2063811900695447,-0.49129307489121127,0,11.976665770490767
2.65,27513,2,2,-0.22588258204175118,-0.11033614216926044,1989,2020-11-03,2021-01-06,-0.9094708532838195,167500.0,0.19843733865593155,-1500,35.7956,-78.7941,1,2020,11,2021,1,-0.36081198463096,0.11722472429539155,0,12.02874460037869
2.65,27713,2,2,-0.4852202577423048,-0.11033614216926044,1986,2020-09-10,2021-01-08,-1.0481781042993523,146500.0,1.774444448502701,-2500,35.9112,-78.9178,2,2020,9,2021,1,-0.49831412386013957,0.25765190872306915,1,11.89478753335453
2.65,27517,2,2,-0.7340796435155633,-0.11033614216926044,1984,2020-12-02,2021-01-05,-0.9718891162408092,156750.0,-0.6458521844762665,-3250,35.9182,-79.0035,2,2020,12,2021,1,-0.5598024980397837,0.35127003167485416,1,11.962413838060145
2.65,27615,2,2,-0.31756761890558327,-0.11033614216926044,1975,2020-08-26,2021-01-08,-1.201449616671516,123500.0,2.0699457815989706,-3400,35.8887,-78.6393,3,2020,8,2021,1,-0.6725536857616341,0.7725515849578869,4,11.724004532183379
