MLS #,City,Zip,Bedrooms,Total Baths,SqFt,Acres,Year Built,List Date,Closing Date,List Price,Sold Price,Days on Market,Over Asking,Lat,Lon,Cluster,Price per SqFt
2379384,Chapel Hill,27517,2,2,1573,1,2002,2021-04-22,2021-05-11,449500,490000,19,40500,35.9182,-79.0035,1,311.50667514303876
2510940,Raleigh,27603,2,2,912,1,1987,2023-05-15,2023-06-09,180000,220500,25,40500,35.7076,-78.6563,0,241.77631578947367
2397142,Raleigh,27604,3,4,1920,1,2016,2021-07-21,2021-08-19,355000,395250,29,40250,35.8334,-78.5799,0,205.859375
2384901,Cary,27513,2,2,1408,1,1998,2021-05-20,2021-06-30,264900,305000,41,40100,35.7956,-78.7941,0,216.6193181818182
2434346,Raleigh,27609,3,3,1886,1,2002,2022-03-03,2022-04-20,659900,700000,48,40100,35.848,-78.6317,0,371.1558854718982
2413374,Raleigh,27605,2,1,716,1,1949,2021-10-13,2021-12-09,294900,335000,57,40100,35.7908,-78.653,0,467.877094972067
2514071,Raleigh,27606,2,3,1223,1,1975,2023-06-01,2023-07-19,225000,265001,48,40001,35.7645,-78.7112,0,216.68111201962387
2446798,Gibsonville,27249,3,3,2300,1,2013,2022-05-05,2022-06-14,400000,440000,40,40000,36.1183,-79.5685,4,191.30434782608697
2497293,Chapel Hill,27516,4,3,2247,1,2011,2023-03-01,2023-03-31,475000,515000,30,40000,35.9162,-79.0999,1,229.19448153093012
2435827,Raleigh,27614,2,2,982,1,2001,2022-03-11,2022-06-01,230000,270000,82,40000,35.9457,-78.6433,0,274.94908350305496
2424717,Morrisville,27560,2,2,1094,1,2001,2021-12-29,2022-02-09,285000,325000,42,40000,35.8344,-78.8466,1,297.07495429616085
10018869,Cary,27511,2,2,1476,1,2001,2024-03-22,2024-04-11,450000,490000,20,40000,35.7641,-78.7786,0,331.97831978319783
2426883,Durham,27707,1,1,1014,1,2009,2022-01-14,2022-01-31,225000,265000,17,40000,35.9631,-78.9315,1,261.34122287968444
2416276,Holly Springs,27540,2,2,974,1,1999,2021-10-29,2021-12-13,190000,230000,45,40000,35.6263,-78.8458,0,236.13963039014374
2439833,Raleigh,27601,2,2,1389,1,2005,2022-03-31,2022-05-13,460000,500000,43,40000,35.7727,-78.6324,0,359.9712023038157
2407402,Raleigh,27608,3,3,1866,1,2002,2021-09-13,2021-11-15,525000,565000,63,40000,35.8077,-78.6463,0,302.7867095391211
2394650,Chapel Hill,27517,2,3,1200,1,1974,2021-07-08,2021-08-23,215000,255000,46,40000,35.9182,-79.0035,1,212.5
10022617,Apex,27502,2,2,1734,1,2014,2024-04-12,2024-05-09,535750,575000,27,39250,35.7225,-78.8408,0,331.603229527105
2211502,Raleigh,27601,3,3,1914,1,2018,2018-08-24,2021-05-28,1017000,1056163,1008,39163,35.7727,-78.6324,0,551.8092998955068
2499881,Raleigh,27606,2,2,982,1,1981,2023-03-16,2023-04-03,199900,238000,18,38100,35.7645,-78.7112,0,242.36252545824848
2401289,Cary,27513,2,2,1276,1,1987,2021-08-12,2021-09-30,225000,263000,49,38000,35.7956,-78.7941,0,206.1128526645768
10007197,Raleigh,27615,3,3,2464,1,1986,2024-01-19,2024-02-06,400000,438000,18,38000,35.8887,-78.6393,0,177.75974025974025
2415352,Chapel Hill,27514,2,2,1485,1,1985,2021-10-23,2021-12-10,275000,312500,48,37500,35.9203,-79.0372,1,210.43771043771045
10026749,Raleigh,27604,2,3,1324,1,2015,2024-05-02,2024-06-06,625000,662000,35,37000,35.8334,-78.5799,0,500.0
2452452,Raleigh,27615,3,3,1538,1,1986,2022-05-31,2022-06-30,245000,282000,30,37000,35.8887,-78.6393,0,183.35500650195058
2425079,Raleigh,27609,2,2,1200,1,1998,2022-01-02,2022-02-07,325000,361500,36,36500,35.848,-78.6317,0,301.25
2504459,Chapel Hill,27514,3,2,1405,1,1988,2023-04-11,2023-05-22,374000,410000,41,36000,35.9203,-79.0372,1,291.8149466192171
2417727,Raleigh,27616,3,3,1623,1,2002,2021-11-05,2021-11-30,215000,251000,25,36000,35.8673,-78.5381,0,154.65187923598276
2444442,Raleigh,27603,2,2,1772,1,1892,2022-04-24,2022-06-01,629000,665000,38,36000,35.7076,-78.6563,0,375.2821670428894
2367672,Chapel Hill,27516,2,4,1582,1,2002,2021-02-19,2021-03-31,375000,411000,40,36000,35.9162,-79.0999,1,259.7977243994943
2441455,Chapel Hill,27517,2,4,943,1,1991,2022-04-08,2022-05-11,235000,270500,33,35500,35.9182,-79.0035,1,286.85047720042417
2431249,Raleigh,27605,3,2,1540,1,1985,2022-02-13,2022-04-22,500000,535200,68,35200,35.7908,-78.653,0,347.53246753246754
2436894,Durham,27713,1,1,658,1,1986,2022-03-17,2022-04-05,165000,200100,19,35100,35.9112,-78.9178,1,304.1033434650456
2398548,Cary,27518,2,2,1233,1,1990,2021-07-29,2021-08-31,289900,325000,33,35100,35.7299,-78.7735,0,263.5847526358475
2454967,Raleigh,27612,2,2,1063,1,1986,2022-06-10,2022-07-19,239999,275000,39,35001,35.852,-78.6841,0,258.70178739416747
2440556,Raleigh,27613,3,3,1540,1,2020,2022-04-05,2022-05-10,395000,430000,35,35000,35.8949,-78.7051,0,279.2207792207792
