Mortgage Rates,Zip,Bedrooms,Total Baths,SqFt,Acres,Year Built,List Price,Sold Price,Days on Market,Over Asking,Lat,Lon,Cluster
2.73,27609,3,3,1396,1,1972,159000,165000,108,6000,35.848,-78.6317,3
2.73,27613,2,2,1493,1,1987,210000,215000,41,5000,35.8949,-78.7051,3
2.73,27517,2,2,975,1,1984,158000,162200,19,4200,35.9182,-79.0035,1
2.73,27606,4,4,1261,1,1999,209900,213000,35,3100,35.7645,-78.7112,0
2.73,27514,2,2,1338,1,1984,224900,228000,42,3100,35.9203,-79.0372,1
2.73,27604,3,4,1788,1,2016,332500,332500,29,0,35.8334,-78.5799,3
2.73,27510,2,2,967,1,1983,215000,215000,25,0,35.9055,-79.0901,1
2.73,27615,3,3,1362,1,1982,212000,212000,55,0,35.8887,-78.6393,3
2.73,27603,1,1,954,1,2006,300000,300000,39,0,35.7076,-78.6563,0
2.73,27514,2,2,908,1,1985,160000,160000,41,0,35.9203,-79.0372,1
2.73,27215,2,2,1126,1,2004,117000,115000,54,-2000,36.0318,-79.4889,2
2.73,27510,1,1,540,1,1982,144750,140000,66,-4750,35.9055,-79.0901,1
2.73,27612,2,2,943,1,1986,164900,160000,41,-4900,35.852,-78.6841,3
2.73,27517,1,1,787,1,1991,175000,170000,113,-5000,35.9182,-79.0035,1
2.73,27612,2,2,1643,1,2001,337500,322000,119,-15500,35.852,-78.6841,3
2.73,27516,2,2,1464,1,2009,585000,565000,24,-20000,35.9162,-79.0999,1
2.73,27519,3,3,1933,1,2015,374500,350000,142,-24500,35.8072,-78.887,1
2.73,27601,1,1,1040,1,2005,360000,330000,33,-30000,35.7727,-78.6324,0
2.81,27608,3,4,3024,1,2002,1100000,1150000,34,50000,35.8077,-78.6463,3
2.81,27604,1,1,828,1,2006,154999,170500,35,15501,35.8334,-78.5799,3
2.81,27511,2,2,1400,1,2003,355000,370000,107,15000,35.7641,-78.7786,0
2.81,27601,3,3,1932,1,2019,1100000,1110535,788,10535,35.7727,-78.6324,0
2.81,27601,2,2,1394,1,2018,675000,683170,1057,8170,35.7727,-78.6324,0
2.81,27615,2,2,1024,1,1974,157500,165500,29,8000,35.8887,-78.6393,3
2.81,27513,2,2,1073,1,1987,174900,180000,47,5100,35.7956,-78.7941,0
2.81,27603,2,2,1025,1,1999,164900,170000,85,5100,35.7076,-78.6563,0
2.81,27601,2,2,1304,1,2019,605000,607188,769,2188,35.7727,-78.6324,0
2.81,27540,1,2,792,1,2003,165000,166250,32,1250,35.6263,-78.8458,0
2.81,27302,2,2,992,1,1983,88000,89000,22,1000,36.0979,-79.2719,2
2.81,27511,2,2,1481,1,2020,445000,445000,396,0,35.7641,-78.7786,0
2.81,27608,2,4,1818,1,2020,607665,607665,95,0,35.8077,-78.6463,3
2.81,27614,2,2,1445,1,2002,200000,200000,60,0,35.9457,-78.6433,3
2.81,27609,2,2,1146,1,1966,235000,235000,41,0,35.848,-78.6317,3
2.81,27617,3,3,1977,1,2007,292500,292500,54,0,35.9034,-78.7447,3
2.81,27518,2,2,1171,1,1995,240000,237620,66,-2380,35.7299,-78.7735,0
2.81,27616,3,3,1690,1,2005,189900,184000,119,-5900,35.8673,-78.5381,3
2.81,27605,2,2,995,1,1988,338800,332000,77,-6800,35.7908,-78.653,0
2.81,27605,2,2,926,1,1986,312000,305000,122,-7000,35.7908,-78.653,0
2.81,27605,2,2,970,1,1986,304900,295000,125,-9900,35.7908,-78.653,0
2.81,27520,3,2,1398,1,2003,175000,164000,64,-11000,35.6348,-78.451,0
2.81,27601,1,2,740,1,1997,315000,300000,73,-15000,35.7727,-78.6324,0
2.81,27560,2,2,1148,1,2001,210000,192000,51,-18000,35.8344,-78.8466,1
2.81,27601,3,3,1762,1,2018,909000,839613,1101,-69387,35.7727,-78.6324,0
2.97,27606,2,2,947,1,1968,142500,161000,14,18500,35.7645,-78.7112,0
2.97,27517,3,3,1375,1,1989,229900,242800,41,12900,35.9182,-79.0035,1
2.97,27606,2,2,1066,1,1983,179900,191500,32,11600,35.7645,-78.7112,0
2.97,27517,1,1,784,1,1991,169500,180000,21,10500,35.9182,-79.0035,1
2.97,27601,2,2,1394,1,2018,665000,675377,1094,10377,35.7727,-78.6324,0
2.97,27409,3,2,1248,1,2003,107000,117100,20,10100,36.0777,-79.9086,2
2.97,27603,3,2,1167,1,1999,165000,173000,45,8000,35.7076,-78.6563,0
2.97,27604,1,2,973,1,2006,199900,207000,36,7100,35.8334,-78.5799,3
2.97,27253,3,3,1545,1,1993,175000,182000,65,7000,36.031,-79.3814,2
2.97,27615,2,2,1138,1,1969,164900,170000,29,5100,35.8887,-78.6393,3
